cobacia,cotrecho,trechosjus,curso_dagua,vazao_incremental,vazao_naturalizada,cabeceira
"7589993",347322,347331,"758",1,0,True
"7589992",227834,347331,"7589992",1,0,True
"7589991",347331,69288,"758",1,0,False
"758998",313280,69288,"758998",1,0,True
"7589973",69288,347332,"758",1,0,False
"7589972",223950,347332,"7589972",1,0,True
"7589971",347332,347333,"758",1,0,False
"758996",325285,347333,"758996",1,0,True
"7589955",347333,328728,"758",1,0,False
"7589954",343869,328728,"7589954",1,0,True
"7589953",328728,68766,"758",1,0,False
"7589952",222314,68766,"7589952",1,0,True
"7589951",68766,328740,"758",1,0,False
"758994",283373,328740,"758994",1,0,True
"7589933",328740,38128,"758",1,0,False
"7589932",419203,38128,"7589932",1,0,True
"7589931",38128,277240,"758",1,0,False
"758992",409570,277240,"758992",1,0,True
"758991",277240,328726,"758",1,0,False
"758989",266978,266975,"75898",1,0,True
"758988",295786,266975,"758988",1,0,True
"758987",266975,266974,"75898",1,0,False
"7589863",301195,301196,"758986",1,0,True
"7589862",164222,301196,"7589862",1,0,True
"7589861",301196,266974,"758986",1,0,False
"758985",266974,266979,"75898",1,0,False
"7589847",194807,42708,"758984",1,0,True
"7589846",314659,42708,"7589846",1,0,True
"7589845",42708,44379,"758984",1,0,False
"7589844",185521,44379,"7589844",1,0,True
"7589843",44379,194808,"758984",1,0,False
"7589842",322978,194808,"7589842",1,0,True
"7589841",194808,266979,"758984",1,0,False
"758983",266979,156609,"75898",1,0,False
"758982",301043,156609,"758982",1,0,True
"7589813",156609,266976,"75898",1,0,False
"7589812",311541,266976,"7589812",1,0,True
"75849161",325306,187286,"7584916",1,0,False
"7589811",266976,328726,"75898",1,0,False
"758979",328726,277256,"758",1,0,False
"758978",458127,277256,"758978",1,0,True
"758977",277256,328730,"758",1,0,False
"758976",234173,328730,"758976",1,0,True
"75849272",297746,297875,"75849272",1,0,True
"758975",328730,328729,"758",1,0,False
"7589745",424454,424452,"758974",1,0,True
"75849271",297875,207780,"758492",1,0,False
"7584915",187286,230811,"7584",1,0,False
"7589744",141913,424452,"7589744",1,0,True
"7589743",424452,424455,"758974",1,0,False
"7589742",310482,424455,"7589742",1,0,True
"7589741",424455,328729,"758974",1,0,False
"758973",328729,328731,"758",1,0,False
"7584914",336729,230811,"7584914",1,0,True
"758972",238274,328731,"758972",1,0,True
"758971",328731,328734,"758",1,0,False
"7589481",359123,424870,"758948",1,0,False
"758969",362635,362640,"75896",1,0,True
"758968",194575,362640,"758968",1,0,True
"758967",362640,334650,"75896",1,0,False
"7589665",334632,334644,"758966",1,0,True
"7589664",272807,334644,"7589664",1,0,True
"7589663",334644,334633,"758966",1,0,False
"7589662",334310,334633,"7589662",1,0,True
"7589661",334633,334650,"758966",1,0,False
"758965",334650,89400,"75896",1,0,False
"758964",224085,89400,"758964",1,0,True
"7589635",89400,154698,"75896",1,0,False
"75816823",255878,76749,"7581682",1,0,True
"7589634",357801,154698,"7589634",1,0,True
"7589633",154698,23926,"75896",1,0,False
"7589632",390027,23926,"7589632",1,0,True
"7589631",23926,334649,"75896",1,0,False
"75894822",233795,212722,"75894822",1,0,True
"758962",355367,334649,"758962",1,0,True
"7589613",334649,334647,"75896",1,0,False
"75816822",227478,76749,"75816822",1,0,True
"7589612",216584,334647,"7589612",1,0,True
"7589611",334647,328734,"75896",1,0,False
"75895",328734,277242,"758",1,0,False
"7589499",424871,424865,"75894",1,0,True
"7589498",234133,424865,"7589498",1,0,True
"7589497",424865,424874,"75894",1,0,False
"75894963",160419,275583,"7589496",1,0,True
"75894962",226648,275583,"75894962",1,0,True
"75894961",275583,424874,"7589496",1,0,False
"7589495",424874,424866,"75894",1,0,False
"7589494",381550,424866,"7589494",1,0,True
"7589493",424866,18897,"75894",1,0,False
"75894821",212722,359123,"7589482",1,0,False
"75894923",309055,210599,"7589492",1,0,True
"75894922",286994,210599,"75894922",1,0,True
"75894921",210599,18897,"7589492",1,0,False
"7589491",18897,424870,"75894",1,0,False
"7589485",359120,359122,"758948",1,0,True
"75816821",76749,239030,"7581682",1,0,False
"7589484",297625,359122,"7589484",1,0,True
"7589483",359122,359123,"758948",1,0,False
"75894823",317375,212722,"7589482",1,0,True
"758947",424870,166487,"75894",1,0,False
"758886",297183,184179,"758886",1,0,True
"758885",184179,134668,"75888",1,0,False
"758884",225385,134668,"758884",1,0,True
"7589467",417568,417565,"758946",1,0,True
"758883",134668,216309,"75888",1,0,False
"75849133",230811,230802,"7584",1,0,False
"7589466",235401,417565,"7589466",1,0,True
"7589465",417565,151992,"758946",1,0,False
"75894643",256511,256486,"7589464",1,0,True
"75894642",266058,256486,"75894642",1,0,True
"75894641",256486,151992,"7589464",1,0,False
"7589463",151992,417562,"758946",1,0,False
"75845633",238065,238066,"758456",1,0,False
"7589462",273987,417562,"7589462",1,0,True
"7589461",417562,166487,"758946",1,0,False
"758945",166487,424864,"75894",1,0,False
"7589445",256780,150929,"758944",1,0,True
"7589444",269108,150929,"7589444",1,0,True
"7589443",150929,256778,"758944",1,0,False
"7589442",410428,256778,"7589442",1,0,True
"7589441",256778,424864,"758944",1,0,False
"7589435",424864,424873,"75894",1,0,False
"7589434",217525,424873,"7589434",1,0,True
"7589433",424873,424872,"75894",1,0,False
"7589432",227524,424872,"7589432",1,0,True
"7589431",424872,166488,"75894",1,0,False
"758942",216216,166488,"758942",1,0,True
"7589413",166488,62591,"75894",1,0,False
"7589412",426480,62591,"7589412",1,0,True
"7589411",62591,277242,"75894",1,0,False
"758933",277242,277229,"758",1,0,False
"7589325",436838,128916,"758932",1,0,True
"7589324",363658,128916,"7589324",1,0,True
"7589323",128916,234708,"758932",1,0,False
"7589322",390029,234708,"7589322",1,0,True
"7589321",234708,277229,"758932",1,0,False
"758931",277229,277247,"758",1,0,False
"758925",224107,224105,"75892",1,0,True
"7589243",304690,304691,"758924",1,0,True
"7589242",280395,304691,"7589242",1,0,True
"7589241",304691,224105,"758924",1,0,False
"758923",224105,188039,"75892",1,0,False
"758922",295625,188039,"758922",1,0,True
